S.No.,Country,2008-2009,% share,2009-2010,% share2,2010-2011,% share3,2011-2012,% share4,2012-2013,% share5,2013-2014,% share6,2014-2015,% share7,2015-2016,% share8,2016-2017,% share9,2017-2018,% share10,2018-2019,% share11,2019-2020,% share12,2020-2021,% share13,2021-2022,% share14,2022-2023,% share15,2023-2024,% share16,,Ave Imp,Ave Share
45,CHINA P RP,18.63,0,9.92,0,26.41,0,14.72,0,41.82,0,0.72,0,50.32,  ,"5,26,588.92",0.2115,"3,98,499.97",0.1546,3.05,0,1.5,0,"5,76,842.95",0.1716,"10,38,999.73",0.3563,"22,13,169.02",0.484,"21,09,761.05",0.3669,"25,56,554.92",0.4571,,"5,88,786.48",0.1468
46,CHRISTMAS IS.,"8,104.24",0.0059,"2,00,909.96",0.1473,"22,188.55",0.0132,"2,72,312.36",0.1161,"12,81,251.60",0.48,"29,99,627.90",1.1047,"13,07,005.55",0.4775,"10,009.21",0.004,"17,274.05",0.0067,"3,82,321.78",0.1274,"7,39,350.31",0.2057,"14,047.07",0.0042,"9,243.32",0.0032,"11,100.32",0.0024,"13,154.90",0.0023,"15,451.63",0.0028,,"4,56,459.55",0.1689625
47,COCOS IS,143.44,0.0001,320.18,0.0002,"3,86,557.80",0.2296,"1,469.54",0.0006,"4,352.81",0.0016,"4,070.76",0.0015,"6,965.65",0.0025,"62,407.84",0.0251,"57,586.98",0.0223,"24,015.19",0.008,"23,057.97",0.0064,"22,754.59",0.0068,"7,580.74",0.0026,"23,416.50",0.0051,"1,75,492.94",0.0305,"1,72,427.73",0.0308,,"60,788.79",0.02335625
48,COLOMBIA,"47,379.75",0.0345,"67,714.27",0.0497,"3,823.66",0.0023,456.04,0.0002,4352.81,0.0016,"27,727.47",0.0102,"77,030.74",0.0281,"1,30,467.86",0.0524,"1,04,938.30",0.0407,"1,45,287.21",0.0484,"13,330.13",0.0037,"4,09,625.42",0.1219,"1,82,969.96",0.0627,"9,83,477.76",0.2151,"16,30,177.97",0.2835,"1,01,809.32",0.0182,,"2,45,660.54",0.060825
49,COMOROS,"2,18,453.37",0.1589,"2,56,994.16",0.1884,"4,474.81",0.0027,"1,27,482.83",0.0544,"2,50,088.34",0.0937,"53,932.60",0.0199,"2,23,113.33",0.0815,130467.86,  ,"39,423.69",0.0153,"1,28,321.44",0.0428,"2,86,251.85",0.0796,409625.42,  ,24.76,0,"47,102.98",0.0103,"48,816.90",0.0085,"97,601.71",0.0175,,"1,45,136.00",0.05525
50,CONGO D. REP.,0.2,0,256994.16,  ,"2,48,015.56",0.1473,17.29,0,250088.34,0.0937,"1,23,594.06",0.0455,1.67,0,"40,268.08",0.0162,"3,05,620.48",0.1186,4.79,0,13.45,0,"34,274.55",0.0102,"35,044.57",0.012,"3,51,448.24",0.0769,"5,30,162.83",0.0922,"3,17,996.08",0.0569,,"1,55,846.52",0.044633333
51,CONGO P REP,"33,977.75",0.0247,"44,336.25",0.0325,36.77,0,"97,882.74",0.0417,"1,19,693.27",0.0448,"1,79,056.37",0.0659,"94,184.83",0.0344,"3,69,707.74",0.1485,"17,002.67",0.0066,"43,361.78",0.0144,"34,962.17",0.0097,"3,19,299.75",0.095,"2,35,214.51",0.0807,"44,193.63",0.0097,"95,467.14",0.0166,"48,096.14",0.0086,,"1,11,029.59",0.0396125
52,COOK IS,"1,45,197.24",0.1056,"1,42,477.24",0.1045,"43,596.26",0.0259,"2,25,893.57",0.0963,"2,10,488.80",0.0789,"5,845.90",0.0022,"3,21,569.28",0.1175,"23,564.02",0.0095,878.5,0.0003,"2,84,686.48",0.0949,"4,19,570.92",0.1167,"40,345.57",0.012,"31,549.48",0.0108,739.67,0.0002,"3,956.02",0.0007,"1,814.68",0.0003,,"1,18,885.85",0.04851875
53,COSTA RICA,"7,137.32",0.0052,"12,579.35",0.0092,"1,15,212.62",0.0684,"11,490.38",0.0049,"9,920.15",0.0037,"1,469.38",0.0005,"17,353.95",0.0063,877.3,0.0004,"44,483.01",0.0173,"20,648.25",0.0069,"26,846.77",0.0075,"2,522.21",0.0008,"51,444.87",0.0176,"55,589.71",0.0122,"94,038.46",0.0164,"34,824.37",0.0062,,"31,652.38",0.01146875
54,COTE D' IVOIRE,616.25,0.0004,501.87,0.0004,"13,001.56",0.0077,"1,888.32",0.0008,"2,159.65",0.0008,"12,183.26",0.0045,960.67,0.0004,"31,392.27",0.0126,"3,61,760.83",0.1403,"1,326.59",0.0004,"2,661.41",0.0007,"52,950.61",0.0158,"17,778.41",0.0061,"4,40,990.45",0.0964,"6,24,343.51",0.1086,"6,10,031.86",0.1091,,"1,35,909.22",0.0315625
