S.No.,Country,2008-2009,%Share,2009-2010,%Share2,2010-2011,%Share3,2011-2012,%Share4,2012-2013,%Share5,2013-2014,%Share6,2014-2015,%Share7,2015-2016,%Share8,2016-2017,%Share9,2017-2018,%Share10,2018-2019,%Share11,2019-2020,%Share12,2020-2021,%Share13,2021-2022,%Share14,2022-2023,%Share15,2023-2024,%Share16,2024-2025,%Share17,2008-2009,% share,2009-2010,% share2,2010-2011,% share3,2011-2012,% share4,2012-2013,% share5,2013-2014,% share6,2014-2015,% share7,2015-2016,% share8,2016-2017,% share9,2017-2018,% share10,2018-2019,% share11,2019-2020,% share12,2020-2021,% share13,2021-2022,% share14,2022-2023,% share15,2023-2024,% share16,Sum of Exp,Sum of Imp,Diff of imp And Exp,Ave Imp per Country,Ave exp per Country,Ave Imp share ,Ave exp share
80,GEORGIA,"33,414.71",0.0397,"26,265.96",0.0311,"30,71,853.52",2.7018,"59,041.45",0.0403,"67,454.69",0.0413,"55,468.60",0.0291,"53,005.28",0.028,"54,217.55",0.0316,"2,55,015.87",0.1379,"2,79,521.64",0.1429,"3,50,286.57",0.1518,"3,16,193.50",0.1424,"1,53,580.65",0.0711,"3,68,346.70",0.117,"7,71,844.36",0.2131,"9,10,343.59",0.2515,653.23,0.0001,"77,856.21",0.0566,"70,019.94",0.0513,"54,13,601.64",3.2157,"1,59,109.74",0.0678,"1,51,596.27",0.0568,83.56,0,"7,74,069.89",0.2828,1940467.7,  ,68.97,0,"61,888.14",0.0206,"1,00,353.47",0.0279,87582.38,0.0261,11.41,0,550.88,0.0001,"1,151.74",0.0002,"25,057.30",0.0045,"68,26,507.87","88,63,469.24","-20,36,961.37",521380.5435,379250.4372,0.23815,0.231705556
81,GERMANY,"29,19,475.35",3.4724,"25,63,293.28",3.0316,"2,63,683.54",0.2319,"37,96,531.89",2.5898,"39,40,810.59",2.4113,"45,51,943.87",2.3895,"46,06,196.79",2.429,"46,45,663.46",2.7067,0.02,0,5.02,0,2.37,0,18.78,0,"4,04,415.74",0.1873,"8,05,276.57",0.2559,"3,61,329.01",0.0998,"6,88,463.79",0.1902,"1,34,617.47",0.2152,77856.21,  ,2.02,0,"72,943.64",0.0433,28.94,0,49.71,0,"65,885.10",0.0243,0.21,0,"72,201.51",0.029,43.22,0,6.94,0,100353.47,  ,337.14,0.0001,337.6,0.0001,554.95,0.0001,256.44,0,17.43,0,"2,96,81,727.54","3,90,874.53","2,92,90,853.01",22992.61941,1648984.863,0.00646,1.122811111
82,GHANA,"2,49,717.48",0.297,"1,84,445.29",0.2181,"67,105.21",0.059,"3,84,305.88",0.2622,"4,04,967.15",0.2478,"5,04,518.54",0.2648,"4,16,978.83",0.2199,"4,09,082.50",0.2383,"2,028.43",0.0011,"1,700.41",0.0009,"2,638.41",0.0011,"1,978.03",0.0009,825.99,0.0004,"1,035.75",0.0003,"6,30,903.81",0.1742,"8,73,559.56",0.2414,"1,34,617.47",0,"31,933.84",0.0232,"73,953.90",0.0542,"5,388.55",0.0032,"52,754.09",0.0225,"60,957.91",0.0228,0.11,0,"77,879.98",0.0285,67.12,0,43.22,  ,171.74,0.0001,337.41,0.0001,139.39,0,513,0.0002,85.49,0,139.04,0,"11,44,521.49",0.2046,"42,70,408.74","14,48,886.28","28,21,522.46",85228.60471,237244.93,0.0224625,0.123744444
83,GIBRALTAR,"4,025.93",0.0048,"2,99,644.52",0.3544,"1,65,738.72",0.1458,"1,39,983.50",0.0955,145.11,0.0001,"60,579.71",0.0318,"3,93,328.10",0.2074,"7,79,621.46",0.4542,"2,940.06",0.0016,"3,447.73",0.0018,"2,394.82",0.001,"5,652.63",0.0025,"2,113.74",0.001,"2,949.55",0.0009,27.82,0,189.28,0.0001,195.96,0.0003,1.42,0,76.46,0.0001,"42,440.19",0.0252,11,0,30.43,0,1.45,0,43.2,0,39.68,0,"14,550.71",0.0056,4.25,0,261.8,0.0001,1.2,0,23.4,0,"15,689.15",0.0034,"16,626.29",0.0029,"62,497.47",0.0112,"18,62,978.64","1,52,298.10","17,10,680.54",8958.711765,103498.8133,0.002852941,0.0724
84,GREECE,"4,06,323.82",0.4833,"2,14,976.71",0.2542,46.71,0,"3,77,225.64",0.2573,"1,63,236.67",0.0999,"2,02,544.82",0.1063,"2,20,424.80",0.1162,"2,20,347.06",0.1284,327.35,0.0002,567.95,0.0003,456.63,0.0002,644.25,0.0003,"1,970.18",0.0009,"2,674.57",0.0008,"3,120.17",0.0009,"3,646.73",0.001,653.23,0.001,33.42,0,34.71,0,17.4,0,12.6,0,0.56,0,208.35,0.0001,43.2,  ,39.68,  ,75.4,0,4.25,  ,1.7,0,"16,209.80",0.0048,"15,420.30",0.0053,15689.15,  ,4.81,0,"5,482.46",0.001,"18,19,187.29","53,277.79","17,65,909.50",3133.987647,101065.9606,0.000861538,0.080622222
85,GREENLAND,38.41,0,177.83,0.0002,461.56,0.0004,133.81,0.0001,255.43,0.0002,"1,054.10",0.0006,690.05,0.0004,"5,693.49",0.0033,"1,61,731.57",0.0874,"1,88,218.51",0.0962,"2,13,690.66",0.0926,"2,06,753.49",0.0931,551.78,0.0003,"1,255.29",0.0004,"2,715.33",0.0007,"3,819.78",0.0011,135.18,0.0002,33.24,0,11.76,0,5.88,0,880.87,0.0004,228.02,0.0001,208.35,  ,48,0,"8,136.51",0.0033,"1,87,442.98",0.0727,"10,292.55",0.0034,"11,297.80",0.0031,"2,95,480.86",0.0879,"11,99,914.18",0.4115,"26,99,285.68",0.5903,"16,48,775.49",0.2868,"12,627.79",0.0023,"7,87,376.27","60,74,669.96","-52,87,293.69",357333.5271,43743.12611,0.0913625,0.020955556
86,GRENADA,207.18,0.0002,308.04,0.0004,"2,830.86",0.0025,495.21,0.0003,464.46,0.0003,895.39,0.0005,819.29,0.0004,"1,222.38",0.0007,161731.57,0.0874,19.54,0,0.01,0,0.01,0,"2,44,758.06",0.1134,"4,11,218.38",0.1307,517.38,0.0001,699.91,0.0002,"85,696.97",0.137,34.07,0,11.76,  ,22.13,0,4.7,0,0.24,0,"7,832.24",0.0029,1.44,0,"2,40,459.32",0.0966,"1,44,264.80",0.056,150.14,0.0001,11297.8,  ,"88,627.55",0.0264,"93,792.04",0.0322,"1,30,050.59",0.0284,"1,37,700.30",0.0239,"25,365.59",0.0045,"9,11,884.64","8,79,614.71","32,269.93",51742.04176,50660.25778,0.018066667,0.026338889
87,GUADELOUPE,684.83,0.0008,"1,687.70",0.002,826.33,0.0007,"3,350.01",0.0023,"3,591.33",0.0022,"3,948.18",0.0021,"2,537.48",0.0013,"1,871.69",0.0011,"2,37,889.27",0.1286,"2,43,646.78",0.1245,"2,82,836.06",0.1226,"2,51,587.01",0.1133,0,0,411218.38,0.1307,"3,73,749.50",0.1032,"4,62,898.62",0.1279,"1,41,800.43",0.2267,"1,322.06",0.001,"2,713.20",0.002,22.61,0,"3,147.77",0.0013,"4,539.09",0.0017,"1,11,615.73",0.0411,"10,436.60",0.0038,"1,29,430.62",0.052,"9,673.02",0.0038,"3,31,743.31",0.1105,"2,86,958.52",0.0798,"4,917.74",0.0015,"8,398.21",0.0029,"1,16,129.47",0.0254,"3,369.86",0.0006,"1,69,37,353.94",3.0284,"24,24,123.60","1,79,61,771.75","-1,55,37,648.15",1056574.809,134673.5333,0.1974,0.060555556
88,GUAM,248.38,0.0003,276.17,0.0003,"51,390.20",0.0452,930.4,0.0006,549.9,0.0003,168.08,0.0001,254.91,0.0001,250.98,0.0001,"14,520.25",0.0079,"6,885.33",0.0035,"7,563.27",0.0033,"6,363.05",0.0029,"3,71,576.11",0.1721,"4,18,259.79",0.1329,"5,06,360.51",0.1398,"5,76,426.57",0.1593,"1,510.76",0.0024,"1,20,995.25",0.088,"1,49,474.17",0.1096,"17,994.70",0.0107,"1,26,077.40",0.0538,"2,87,054.88",0.1075,"67,775.96",0.025,"4,44,901.14",0.1625,"12,139.88",0.0049,"2,420.59",0.0009,"1,65,129.13",0.055,"88,937.75",0.0247,"9,871.80",0.0029,"9,974.27",0.0034,"16,276.05",0.0036,"9,628.87",0.0017,"2,54,097.64",0.0454,"19,63,534.66","17,82,749.48","1,80,785.18",104867.6165,109085.2589,0.041152941,0.037283333
89,GUATEMALA,"36,984.11",0.044,"41,055.31",0.0486,"43,865.85",0.0386,"92,124.49",0.0628,"1,22,209.92",0.0748,"1,28,931.45",0.0677,"1,40,099.77",0.0739,"1,67,572.42",0.0976,"13,450.34",0.0073,"16,778.76",0.0086,"20,722.28",0.009,"17,867.03",0.008,"13,338.59",0.0062,"7,907.79",0.0025,"7,953.31",0.0022,"5,782.01",0.0016,"12,212.21",0.0195,"46,596.16",0.0339,"87,269.35",0.064,"47,818.84",0.0284,"1,11,942.13",0.0477,"76,754.56",0.0288,"4,409.02",0.0016,"96,686.97",0.0353,"2,142.89",0.0009,0.19,0,"4,253.06",0.0014,"4,505.62",0.0013,"13,630.94",0.0041,"9,293.36",0.0032,"15,738.42",0.0034,"12,456.73",0.0022,"4,957.71",0.0009,"8,88,855.64","5,38,455.95","3,50,399.69",31673.87941,49380.86889,0.015123529,0.031827778
90,GUINEA,"35,446.38",0.0422,"37,671.90",0.0446,"1,389.09",0.0012,"62,647.77",0.0427,"1,12,040.37",0.0686,"1,23,699.44",0.0649,"1,73,475.63",0.0915,"1,81,824.69",0.1059,"47,908.50",0.0259,"60,585.38",0.031,"55,503.78",0.0241,"46,474.06",0.0209,"26,285.88",0.0122,"49,531.38",0.0157,"49,984.30",0.0138,"82,335.33",0.0227,"3,106.09",0.005,"5,024.90",0.0037,"3,893.06",0.0029,"27,571.58",0.0164,"4,299.09",0.0018,"2,503.21",0.0009,579.13,0.0002,"6,318.66",0.0023,"10,353.03",0.0042,"14,891.73",0.0058,"5,321.00",0.0018,"9,669.39",0.0027,"1,19,99,898.32",3.5704,"1,12,21,827.11",3.8484,"1,42,40,079.56",3.1141,"1,46,58,642.99",2.5494,"1,93,86,389.38",3.4663,"11,49,909.97","7,15,97,262.14","-7,04,47,352.17",4211603.655,63883.88722,0.975958824,0.035161111
91,GUINEA BISSAU,"16,491.57",0.0196,"1,494.50",0.0018,"7,317.96",0.0064,"6,221.90",0.0042,"5,869.73",0.0036,"11,695.65",0.0061,"5,962.93",0.0031,"9,534.27",0.0056,47908.5,0.0259,23.97,0,18.55,0,46474.06,0.0209,"79,637.73",0.0369,"74,167.00",0.0236,"70,362.44",0.0194,"87,401.79",0.0241,"35,643.06",0.057,817.18,0.0006,657.5,0.0005,"4,200.43",0.0025,968.24,0.0004,722.19,0.0003,579.13,  ,970.07,0.0004,"39,63,591.14",1.5916,"54,90,618.08",2.1301,"8,587.76",0.0029,"12,771.28",0.0036,"1,32,987.95",0.0396,"1,62,011.34",0.0556,"2,18,711.23",0.0478,"2,46,004.54",0.0428,"5,17,655.21",0.0926,"5,06,225.61","1,07,61,853.27","-1,02,55,627.66",633050.1924,28123.645,0.25070625,0.014344444
92,GUYANA,"5,555.41",0.0066,"7,715.78",0.0091,"27,536.81",0.0242,"10,224.29",0.007,"11,948.98",0.0073,"14,695.00",0.0077,"14,946.95",0.0079,"14,288.06",0.0083,"90,446.67",0.0489,"94,251.13",0.0482,"1,16,879.29",0.0506,"1,31,352.09",0.0592,"1,20,428.70",0.0558,"2,36,870.50",0.0753,"2,19,083.69",0.0605,"2,20,142.57",0.0608,"7,74,252.55",1.2376,13.62,0,0.86,0,608.16,0.0004,"3,885.52",0.0017,87.46,0,"13,693.28",0.005,"15,453.80",0.0056,"1,58,564.93",0.0637,"1,46,633.86",0.0569,"68,77,702.27",2.2918,"1,25,97,191.41",3.5044,"7,393.52",0.0022,"4,612.84",0.0016,"4,241.05",0.0009,"3,939.62",0.0007,"2,48,55,610.66",4.4442,"21,10,618.47","4,46,89,632.86","-4,25,79,014.39",2628801.933,117256.5817,0.610535294,0.098611111
93,HAITI,"20,342.04",0.0242,"15,668.16",0.0185,204.9,0.0002,"23,110.10",0.0158,"34,679.77",0.0212,"35,830.56",0.0188,"52,378.17",0.0276,"40,614.28",0.0237,"94,11,493.32",5.0889,"94,67,735.08",4.8391,"91,11,741.76",3.9484,"77,75,243.40",3.5026,"75,20,143.29",3.4831,"81,83,452.88",2.6004,"79,49,741.89",2.1951,"68,29,915.45",1.8871,"71,199.30",0.1138,"2,197.06",0.0016,"11,634.90",0.0085,608.16,0.0004,"49,57,017.02",2.1134,"9,720.28",0.0036,"44,10,706.05",1.6243,"34,08,862.40",1.2454,"2,746.19",0.0011,"3,157.05",0.0012,"1,74,581.99",0.0582,"1,68,369.14",0.0468,"1,06,72,726.80",3.1755,"92,32,528.22",3.1662,"1,32,04,914.08",2.8877,"2,30,81,527.64",4.0143,"46,90,539.48",0.8387,"6,65,43,494.35","7,40,31,836.46","-74,88,342.11",4354813.909,3696860.797,1.128641176,1.544916667
94,HEARD MACDONALD,0.09,0,0.63,0,"28,808.60",0.0253,23110.1,0.0158,0.63,0,16.21,0,35.04,0,40614.28,0.0237,"2,72,507.28",0.1473,"2,59,548.84",0.1327,"3,20,457.79",0.1389,"3,00,344.09",0.1353,"3,66,753.75",0.1699,"4,10,612.25",0.1305,"4,62,527.28",0.1277,"4,64,769.20",0.1284,"1,450.16",0.0023,"29,73,253.51",2.1633,"22,31,668.95",1.6364,654.21,0.0004,"2,06,607.18",0.0881,"43,03,011.83",1.6121,"1,33,438.29",0.0491,"1,46,600.68",0.0536,"85,79,957.42",3.4453,"90,08,193.45",3.4947,"4,778.19",0.0016,"6,090.05",0.0017,"9,76,201.73",0.2905,"2,44,797.12",0.084,73.4,0,23081527.64,  ,"16,59,925.96",0.2968,"29,51,556.22","5,35,56,779.61","-5,06,05,223.39",3150398.801,163975.3456,0.8261,0.065433333
95,HONDURAS,"31,588.43",0.0376,"21,515.76",0.0254,"47,03,841.63",4.1372,"44,210.05",0.0302,"59,975.69",0.0367,"65,530.75",0.0344,"1,14,964.94",0.0606,"1,01,414.22",0.0591,"11,209.53",0.0061,"3,802.22",0.0019,"21,791.46",0.0094,"7,144.79",0.0032,"8,078.40",0.0037,"8,779.88",0.0028,"8,378.11",0.0023,"10,064.36",0.0028,"7,82,813.37",1.2513,"88,152.53",0.0641,"91,978.46",0.0674,"42,82,511.81",2.5439,"2,202.72",0.0009,"1,43,196.61",0.0536,"4,083.77",0.0015,"2,873.98",0.0011,"40,82,287.05",1.6393,"70,47,761.27",2.7342,"1,05,96,111.95",3.5308,"1,11,14,852.90",3.092,"1,68,35,448.07",5.0091,"1,05,65,526.45",3.6233,"3,46,335.49",0.0757,"5,40,715.30",0.094,"47,96,856.72",0.8577,"60,05,103.59","7,05,40,895.08","-6,45,35,791.49",4149464.416,333616.8661,1.3758,0.316927778
96,HONG KONG,"30,39,069.39",3.6147,"37,30,053.40",4.4115,"96,805.13",0.0851,"61,87,723.46",4.2209,"66,89,817.16",4.0933,"77,24,096.13",4.0546,"83,11,857.40",4.3831,"79,30,702.05",4.6206,"23,40,069.18",1.2653,"25,56,175.52",1.3065,"36,87,106.45",1.5977,"29,29,938.37",1.3199,"37,15,668.84",1.721,"63,19,650.22",2.0081,"80,33,518.43",2.2183,"49,51,517.09",1.3681,"1,90,180.29",0.304,"1,620.70",0.0012,"4,805.72",0.0035,"1,56,632.32",0.093,"70,41,989.62",3.0024,"1,206.55",0.0005,"89,03,542.02",3.2789,"91,84,535.26",3.3556,"70,56,429.54",2.8336,"78,51,495.22",3.046,"71,62,010.29",2.3865,"94,11,296.93",2.6181,"4,26,604.24",0.1269,"3,06,898.93",0.1052,"2,38,41,803.59",5.2139,"2,75,20,214.51",4.7863,"6,192.93",0.0011,"7,84,33,948.51","10,88,77,278.37","-3,04,43,329.86",6404545.786,4357441.584,1.814864706,2.366261111
97,HUNGARY,"1,99,667.93",0.2375,"1,28,182.66",0.1516,"38,606.42",0.034,"1,51,592.17",0.1034,"1,76,180.70",0.1078,"2,07,994.28",0.1092,"2,13,421.51",0.1125,"2,25,839.51",0.1316,"53,433.43",0.0289,"22,401.02",0.0114,"24,46,096.07",1.06,"23,85,428.68",1.0746,"13,21,185.17",0.6119,"10,83,117.95",0.3442,"13,27,244.14",0.3665,"10,11,729.00",0.2795,"4,70,052.94",0.7514,"30,75,129.40",2.2374,"41,00,880.75",3.0071,"2,105.10",0.0013,"66,55,215.33",2.8375,"80,96,569.76",3.0334,"62,79,848.30",2.3127,"54,58,848.32",1.9944,"3,61,280.00",0.1451,"3,52,814.46",0.1369,"1,13,45,266.55",3.7805,"1,56,60,099.03",4.3565,"11,29,659.46",0.3361,"14,48,158.25",0.4966,"8,46,793.27",0.1852,"29,40,271.58",0.5114,"1,46,50,632.96",2.6195,"1,14,62,173.58","8,24,03,572.52","-7,09,41,398.94",4847268.972,636787.4211,1.646564706,0.306444444
98,ICELAND,"5,708.88",0.0068,"8,015.05",0.0095,"25,92,440.79",2.2801,"15,984.84",0.0109,"14,092.77",0.0086,"11,978.94",0.0063,"12,200.12",0.0064,"12,175.99",0.0071,"15,95,527.94",0.8627,"17,09,370.72",0.8737,"12,50,649.91",0.5419,"13,28,659.79",0.5985,"11,10,518.18",0.5144,"17,96,957.80",0.571,"21,77,664.26",0.6013,"27,76,676.46",0.7672,"86,498.52",0.1383,"55,82,184.47",4.0614,"54,63,556.74",4.0063,"45,13,629.30",2.6812,"90,53,148.36",3.8599,"63,02,560.76",2.3613,"1,11,63,769.78",4.1112,"86,77,872.85",3.1705,"13,71,293.13",0.5507,"13,14,732.57",0.51,"5,12,551.66",0.1708,"2,95,479.01",0.0822,"31,77,753.97",0.9455,"28,59,165.94",0.9805,"22,97,453.12",0.5024,"18,62,314.30",0.3239,"11,66,397.82",0.2086,"1,65,05,120.96","6,56,13,863.78","-4,91,08,742.82",3859639.046,916951.1644,1.678023529,0.433594444
99,INDONESIA,"11,57,782.95",1.3771,"14,60,463.91",1.7273,"11,33,689.41",0.9971,"32,10,069.61",2.1897,"28,99,608.70",1.7742,"29,33,987.09",1.5401,"24,67,435.24",1.3012,"18,44,606.51",1.0747,"7,45,645.13",0.4032,"9,42,265.18",0.4816,"3,71,498.31",0.161,"3,78,331.77",0.1704,"4,16,967.58",0.1931,"5,13,013.07",0.163,"4,67,244.12",0.129,"5,82,089.64",0.1608,"2,70,925.60",0.4331,"34,28,501.21",2.4945,"33,27,268.42",2.4398,"49,72,462.81",2.9537,"1,97,493.25",0.0842,"1,04,59,636.16",3.9187,"3,37,948.27",0.1245,"3,25,978.97",0.1191,"26,64,462.56",1.0699,"26,12,844.79",1.0136,"13,32,119.79",0.4439,"13,46,984.55",0.3747,"2,090.15",0.0006,"1,644.86",0.0006,"37,63,003.64",0.8229,"44,92,319.19",0.7813,"78,854.15",0.0141,"2,17,95,623.82","3,93,43,612.77","-1,75,47,988.95",2314330.163,1210867.99,0.979770588,0.793144444
100,IRAN,"11,56,517.42",1.3756,"8,80,743.32",1.0416,"3,07,505.70",0.2705,"11,51,165.21",0.7853,"18,25,480.70",1.117,"30,05,657.44",1.5778,2467435.24,1.3012,"4,791.58",0.0028,"3,25,535.84",0.176,"3,45,502.35",0.1766,"25,95,874.95",1.1249,"23,80,739.01",1.0725,"19,97,978.03",0.9254,"35,77,045.79",1.1366,"68,27,425.31",1.8852,"37,48,205.03",1.0356,"11,45,437.54",1.831,"1,10,214.16",0.0802,"1,25,774.04",0.0922,"40,97,724.66",2.4341,"12,68,405.85",0.5408,"2,70,658.10",0.1014,"13,88,773.51",0.5114,"14,22,942.54",0.5199,"1,017.65",0.0004,784.25,0.0003,"30,33,679.21",1.0109,"37,00,309.92",1.0294,"88,03,362.83",2.6193,"80,81,915.37",2.7716,"1,341.98",0.0003,"3,996.74",0.0007,"1,46,053.52",0.0261,"3,37,43,040.46","3,24,56,954.33","12,86,086.13",1909232.608,1874613.359,0.690529412,0.935311111
101,IRAQ,"1,98,127.14",0.2357,"2,26,331.18",0.2677,"1,22,914.98",0.1081,"3,70,849.83",0.253,"6,97,277.74",0.4266,"5,52,497.27",0.29,"25,52,961.91",1.3463,"18,17,670.99",1.059,"20,69,804.44",1.1192,"21,68,736.36",1.1085,"39,08,778.67",1.6938,"35,25,935.23",1.5884,"34,99,172.02",1.6207,"60,95,957.44",1.9371,"69,76,287.42",1.9263,"72,55,314.30",2.0046,"11,765.06",0.0188,"9,49,903.46",0.6911,"8,92,765.57",0.6546,"1,18,093.36",0.0701,"24,50,936.87",1.045,"12,81,441.93",0.4801,"25,14,057.31",0.9258,"25,86,217.40",0.9449,"64,49,314.69",2.5898,"65,41,452.47",2.5377,"2,807.13",0.0009,"3,500.44",0.001,101.87,0,8081915.37,  ,"1,07,29,740.27",2.3464,"1,32,61,477.63",2.3064,"1,168.79",0.0002,"4,20,50,381.98","5,58,64,894.56","-1,38,14,512.58",3286170.268,2336132.332,0.912125,0.944655556
102,IRELAND,"2,03,497.12",0.242,"1,23,564.18",0.1461,"13,28,259.52",1.1683,"1,83,649.88",0.1253,"2,10,291.03",0.1287,"2,50,896.70",0.1317,"5,08,954.05",0.2684,"6,54,975.58",0.3816,"32,85,790.48",1.7766,"36,80,606.50",1.8812,"38,832.88",0.0168,"40,204.37",0.0181,"47,435.64",0.022,"60,088.90",0.0191,"70,520.75",0.0195,"90,376.63",0.025,"7,60,355.59",1.2154,"19,98,356.25",1.4539,"18,27,411.51",1.34,"10,26,344.81",0.6097,773.22,0.0003,"25,65,242.04",0.9611,549.78,0.0002,"1,086.91",0.0004,"5,58,032.06",0.2241,"5,55,610.91",0.2155,"70,74,524.84",2.3574,"89,27,838.13",2.4836,"7,54,261.40",0.2244,"7,89,638.49",0.2708,"13,62,785.06",0.298,"18,32,966.12",0.3188,"1,75,04,596.78",3.1298,"1,15,38,299.80","4,67,80,018.31","-3,52,41,718.51",2751765.783,641016.6556,0.816941176,0.421433333
103,ISRAEL,"6,58,430.72",0.7831,"9,28,943.79",1.0986,"20,69,068.00",1.8198,"19,32,660.41",1.3184,"20,34,668.32",1.245,"22,75,713.87",1.1946,"4,67,133.18",0.2463,"3,44,294.70",0.2006,"28,849.42",0.0156,"33,683.64",0.0172,"34,01,029.03",1.4738,"32,00,287.14",1.4417,"32,81,818.06",1.52,"46,04,198.92",1.463,"43,83,430.40",1.2104,"42,69,323.34",1.1796,760355.59,1.2154,506.38,0.0004,314.82,0.0002,"19,39,469.59",1.1521,"57,67,103.11",2.4588,"1,326.47",0.0005,"57,21,168.94",2.1069,"61,99,039.65",2.2648,"2,29,490.16",0.0922,"3,47,377.19",0.1348,7074524.84,  ,36.17,0,"16,03,667.85",0.4771,"5,99,350.14",0.2055,"2,41,755.62",0.0529,"1,61,848.42",0.0281,"69,40,853.60",1.241,"3,46,73,888.53","3,68,27,832.95","-21,53,944.42",2166343.115,1926327.141,0.63845625,0.969061111
104,ITALY,"17,36,487.94",2.0654,"16,07,224.74",1.9008,"10,150.97",0.0089,"23,27,165.70",1.5875,"23,77,873.26",1.455,"31,88,717.28",1.6739,"20,07,124.53",1.0584,"18,46,686.68",1.0759,"25,78,624.43",1.3943,"30,50,599.46",1.5592,3401029.03,1.4738,0.01,0,"4,67,334.28",0.2165,"6,62,510.00",0.2105,4383430.4,1.2104,0.01,0,"96,958.13",0.155,"35,83,282.46",2.6071,"31,89,384.21",2.3387,351.19,0.0002,"7,14,506.02",0.3046,"67,54,720.77",2.5307,"3,63,718.58",0.1339,"5,25,293.18",0.1919,"83,744.14",0.0336,"69,914.52",0.0271,"6,34,875.34",0.2116,"7,82,225.95",0.2176,"63,278.37",0.0188,"96,145.15",0.033,"1,08,259.84",0.0237,"93,874.29",0.0163,"7,760.72",0.0014,"2,97,41,916.85","1,70,71,334.73","1,26,70,582.12",1004196.161,1652328.714,0.511188235,0.946972222
105,JAMAICA,"10,342.24",0.0123,"9,859.82",0.0117,"23,17,903.33",2.0387,"12,805.14",0.0087,"16,203.83",0.0099,"21,854.45",0.0115,"31,11,841.59",1.641,"27,63,464.87",1.6101,2578624.43,1.3943,1.19,0,"4,05,806.64",0.1758,"6,77,086.65",0.305,"1,67,239.30",0.0775,"1,75,648.15",0.0558,"17,21,009.69",0.4752,"12,12,861.96",0.3351,"41,901.61",0.067,"8,00,087.81",0.5821,"3,92,371.45",0.2877,"39,30,930.77",2.335,"93,086.46",0.0397,"5,11,172.81",0.1915,"3,97,849.12",0.1465,"4,26,691.98",0.1559,83744.14,  ,"59,170.61",0.023,"5,85,710.04",0.1952,"4,95,342.41",0.1378,"2,467.53",0.0007,"1,043.14",0.0004,30.4,0,93874.29,  ,"82,601.42",0.0148,"1,52,44,454.89","79,56,174.38","72,88,280.51",468010.2576,846914.1606,0.27402,0.4572
106,JAPAN,"13,80,771.30",1.6423,"17,14,278.60",2.0275,"2,20,230.43",0.1937,"30,51,134.40",2.0813,"33,21,415.89",2.0323,"41,25,345.29",2.1655,"23,174.32",0.0122,"26,349.01",0.0154,"3,50,435.01",0.1895,"3,47,843.15",0.1778,"1,00,411.81",0.0435,"1,43,559.84",0.0647,"14,03,083.53",0.6499,"19,62,269.11",0.6235,"3,49,939.77",0.0966,"1,95,928.53",0.0541,"2,92,287.09",0.4672,"73,352.81",0.0534,"73,596.96",0.054,"3,74,402.61",0.2224,"54,144.12",0.0231,"76,278.01",0.0286,"76,313.20",0.0281,"71,708.72",0.0262,"56,737.78",0.0228,"84,40,432.93",3.2744,"46,781.04",0.0156,"96,121.88",0.0267,"1,10,88,343.94",3.2992,"94,47,621.69",3.24,"3,900.21",0.0009,"2,022.56",0.0004,"1,52,066.85",0.0272,"1,90,08,457.08","3,01,33,825.31","-1,11,25,368.23",1772577.959,1056025.393,0.608411765,0.6965
107,JORDAN,"1,96,036.40",0.2332,"1,16,368.75",0.1376,"78,442.53",0.069,"3,97,685.72",0.2713,"5,45,264.63",0.3336,"9,82,730.34",0.5159,"32,83,568.79",1.7315,"30,43,466.66",1.7732,"81,084.29",0.0438,"80,791.57",0.0413,"14,44,068.05",0.6258,"14,93,656.89",0.6729,529.68,0.0002,"1,223.48",0.0004,"26,28,344.06",0.7258,"26,31,294.55",0.727,"1,376.40",0.0022,"37,619.20",0.0274,"37,621.61",0.0276,"63,029.21",0.0374,54144.12,  ,"57,736.47",0.0216,1.81,0,7.69,0,"85,36,310.91",3.4278,"29,89,905.25",1.1599,46781.04,  ,155.05,0,"67,93,208.72",2.0212,"38,52,493.57",1.3212,"1,30,29,934.56",2.8495,"1,70,63,180.53",2.9676,"93,272.66",0.0167,"1,70,05,932.79","5,26,55,402.40","-3,56,49,469.61",3097376.612,944774.0439,0.925193333,0.43915
108,KAZAKHSTAN,"60,244.72",0.0717,"64,821.66",0.0767,"9,94,752.69",0.8749,"1,17,144.60",0.0799,"1,55,913.79",0.0954,"1,58,010.10",0.0829,"8,69,669.71",0.4586,"3,26,542.91",0.1903,"14,71,467.78",0.7956,"12,72,449.44",0.6504,255.04,0.0001,271.69,0.0001,"2,088.24",0.001,252.65,0.0001,"1,219.96",0.0003,857.83,0.0002,51.48,0.0001,29.45,0,37621.61,  ,"56,611.42",0.0336,"87,536.15",0.0373,43.31,0,"6,788.49",0.0025,"80,472.47",0.0294,"32,37,881.59",1.3002,"1,001.36",0.0004,"16,155.84",0.0054,"2,061.24",0.0006,928.65,0.0003,"3,798.26",0.0013,"82,11,471.04",1.7957,"98,45,803.04",1.7124,57.86,0,"54,96,014.29","2,15,88,261.78","-1,60,92,247.49",1269897.752,305334.1272,0.30744375,0.187683333
